Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Plourde, V., Boivin, M., Forget‐Dubois, N., Brendgen, M., Vitaro, F., Marino, C., . . . Dionne, G. (2015). Phenotypic and genetic associations between reading comprehension, decoding skills, and ADHD dimensions: evidence from two population‐based studies. Journal of child Psychology and Psychiatry, 56(10), 1074-1082. ",Plourde et al. (2015),No data,Quebec Newborn Twin Study (QNTS) ,Quebec Longitudinal Study of Child Development ,"QNTS, QLSCD",Twin study,Classical,2300,,,5-8y,Childhood & Middle Childhood,Canada,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,SBQ,Kaufman Assessment Battery,Reading Skills Test,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Inattention & Decoding,Inattention & Decoding,ADHD Traits & Reading Ability,-0.77,0.12,0.5,0.26,0.09,0.04,FULL
"Plourde, V., Boivin, M., Forget‐Dubois, N., Brendgen, M., Vitaro, F., Marino, C., . . . Dionne, G. (2015). Phenotypic and genetic associations between reading comprehension, decoding skills, and ADHD dimensions: evidence from two population‐based studies. Journal of child Psychology and Psychiatry, 56(10), 1074-1082. ",Plourde et al. (2015),No data,Quebec Newborn Twin Study (QNTS) ,Quebec Longitudinal Study of Child Development ,"QNTS, QLSCD",Twin study,Classical,2300,,,5-8y,Childhood & Middle Childhood,Canada,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,SBQ,Kaufman Assessment Battery,Reading Skills Test,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading comprehension,Inattention & Reading Comprehension,ADHD Traits & Reading Ability,-0.45,0.14,0.47,0.24,0.08,0.04,FULL
"Plourde, V., Boivin, M., Brendgen, M., Vitaro, F., & Dionne, G. (2017). Phenotypic and genetic associations between reading and attention-deficit/hyperactivity disorder dimensions in adolescence. Development and psychopathology, 29(4), 1215-1226. ","Plourde, Boivin, Brendgen, Vitaro & Dionne (2017)",No data,Quebec Newborn Twin Study (QNTS) ,,"QNTS, QLSCD",Twin study,Classical,3646,,15.08,14-16y,Adolescence,Canada,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Alouette-R,Weschler Individual Achievement Test,SBQ ,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading accuracy,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.31,0.1,0.1,0.05,0.28,0.14,FULL
"Plourde, V., Boivin, M., Brendgen, M., Vitaro, F., & Dionne, G. (2017). Phenotypic and genetic associations between reading and attention-deficit/hyperactivity disorder dimensions in adolescence. Development and psychopathology, 29(4), 1215-1226. ","Plourde, Boivin, Brendgen, Vitaro & Dionne (2017)",No data,Quebec Newborn Twin Study (QNTS) ,,"QNTS, QLSCD",Twin study,Classical,3646,,15.08,14-16y,Adolescence,Canada,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Alouette-R,Weschler Individual Achievement Test,SBQ ,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading speed,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.26,0.09,,,0.37,0.19,BEST
"Plourde, V., Boivin, M., Brendgen, M., Vitaro, F., & Dionne, G. (2017). Phenotypic and genetic associations between reading and attention-deficit/hyperactivity disorder dimensions in adolescence. Development and psychopathology, 29(4), 1215-1226. ","Plourde, Boivin, Brendgen, Vitaro & Dionne (2017)",No data,Quebec Newborn Twin Study (QNTS) ,,"QNTS, QLSCD",Twin study,Classical,3646,,15.08,14-16y,Adolescence,Canada,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Alouette-R,Weschler Individual Achievement Test,SBQ ,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Word reading,Inattention & Word Reading,ADHD Traits & Reading Ability,-0.2,0.08,,,0.35,0.05,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.11,0.04,,,0.13,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.42,0.03,,,0.07,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-8y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.2,0.04,,,0.09,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.38,0.04,,,0.07,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.19,0.04,,,0.16,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-8y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.18,0.04,,,0.1,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.22,0.04,,,0.01,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,5-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DCB,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.18,0.04,,,0.09,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.18,0.04,,,0.07,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.22,0.04,,,0.14,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-8y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.29,0.04,,,0.06,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.28,0.04,,,0.04,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.16,0.04,,,0.07,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-8y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.47,0.03,,,0.08,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-10y,Childhood & Middle Childhood,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.28,0.04,,,0.03,0.04,BEST
"Polderman, T. J., Huizink, A. C., Verhulst, F. C., van Beijsterveldt, C. E., Boomsma, D. I., & Bartels, M. (2011). A genetic study on attention problems and academic skills: results of a longitudinal study in twins. Journal of the Canadian Academy of Child and Adolescent Psychiatry/Journal de l'Académie canadienne de psychiatrie de l'enfant et de l'adolescent. ",Polderman et al. (2011),No data,NTR,,NTR,Twin study,Classical,890,,,7-12y,Childhood & Adolescence,Netherlands,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,CBCL,Pupil Monitoring System (PMS),,,,,,,Parent,,Sex,SES,,Family,Combined,Continuous,Inattention & Spelling,Inattention & Spelling,ADHD Traits & Reading Ability,-0.35,0.04,,,0.01,0.04,BEST
"Ronald, A., Larsson, H., Anckarsäter, H., & Lichtenstein, P. (2014). Symptoms of autism and ADHD: a Swedish twin study examining their overlap. Journal of abnormal psychology, 123(2), 440. ","Ronald, Larsson, Anckarsater & Lichtenstein (2014)",No data,CATSS,,CATSS,Twin study,Classical,17036,,,9y,Middle childhood,Sweden,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Sex,Interview order,,Family,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.88,0.003,,,0.29,0.01,BEST
"Ronald, A., Larsson, H., Anckarsäter, H., & Lichtenstein, P. (2014). Symptoms of autism and ADHD: a Swedish twin study examining their overlap. Journal of abnormal psychology, 123(2), 440. ","Ronald, Larsson, Anckarsater & Lichtenstein (2014)",No data,CATSS,,CATSS,Twin study,Classical,17036,,,12y,Adolescence,Sweden,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Sex,Interview order,,Family,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.87,0.01,,,0.27,0.02,BEST
"Ronald, A., Simonoff, E., Kuntsi, J., Asherson, P., & Plomin, R. (2008). Evidence for overlapping genetic influences on autistic and ADHD behaviours in a community twin sample. Journal of child Psychology and Psychiatry, 49(5), 535-542. ","Ronald, Simonoff, Kuntsi, Asherson & Plomin (2008)",94,TEDS,,TEDS,Twin study,Classical,12214,,7.88,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Males,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.57,0.01,,,0.22,0.03,BEST
"Ronald, A., Simonoff, E., Kuntsi, J., Asherson, P., & Plomin, R. (2008). Evidence for overlapping genetic influences on autistic and ADHD behaviours in a community twin sample. Journal of child Psychology and Psychiatry, 49(5), 535-542. ","Ronald, Simonoff, Kuntsi, Asherson & Plomin (2008)",94,TEDS,,TEDS,Twin study,Classical,12214,,7.88,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Females,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.56,0.02,,,0.15,0.03,BEST
"Ronald, A., Simonoff, E., Kuntsi, J., Asherson, P., & Plomin, R. (2008). Evidence for overlapping genetic influences on autistic and ADHD behaviours in a community twin sample. Journal of child Psychology and Psychiatry, 49(5), 535-542. ","Ronald, Simonoff, Kuntsi, Asherson & Plomin (2008)",94,TEDS,,TEDS,Twin study,Classical,12214,,7.88,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Teacher,,Age,Sex,,Family,Males,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.56,0.03,,,0.31,0.04,BEST
"Ronald, A., Simonoff, E., Kuntsi, J., Asherson, P., & Plomin, R. (2008). Evidence for overlapping genetic influences on autistic and ADHD behaviours in a community twin sample. Journal of child Psychology and Psychiatry, 49(5), 535-542. ","Ronald, Simonoff, Kuntsi, Asherson & Plomin (2008)",94,TEDS,,TEDS,Twin study,Classical,12214,,7.88,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Teacher,,Age,Sex,,Family,Females,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.54,0.03,,,0.35,0.04,BEST
"Rosenberg, J., Pennington, B. F., Willcutt, E. G., & Olson, R. K. (2012). Gene by environment interactions influencing reading disability and the inattentive symptom dimension of attention deficit/hyperactivity disorder. Journal of child Psychology and Psychiatry, 53(3), 243-251. ","Rosenberg, Pennington, Willcut & Olson (2012)",No data,CLDRC,,CLDRC,Twin study,DFextremes,908,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,ADHDRS-IV,PIAT,,,,,,,Parent,Teacher,Age,,,Family,Combined,Continuous,Inattention & Reading difficulties,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.45,0.06,,,,,DFAonly
"Rosenberg, J., Pennington, B. F., Willcutt, E. G., & Olson, R. K. (2012). Gene by environment interactions influencing reading disability and the inattentive symptom dimension of attention deficit/hyperactivity disorder. Journal of child Psychology and Psychiatry, 53(3), 243-251. ","Rosenberg, Pennington, Willcut & Olson (2012)",No data,CLDRC,,CLDRC,Twin study,DFextremes,908,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,ADHDRS-IV,PIAT,,,,,,,Parent,Teacher,Age,,,Family,Combined,Continuous,Inattention & Reading difficulties,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.35,0.07,,,,,DFAonly
"Saunders, M. C., Anckarsäter, H., Lundström, S., Hellner, C., Lichtenstein, P., & Fontaine, N. M. (2019). The associations between callous-unemotional Traits and symptoms of conduct problems, hyperactivity and emotional problems: A study of adolescent twins screened for neurodevelopmental problems. Journal of abnormal child psychology, 47(3), 447-457. ",Saunders et al. (2019),No data,CATSS,,CATSS,Twin study,Classical,860,,,9-15y,Middle childhood & Adolescence,Sweden,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,Youth Psychopathic Traits Inventory,SDQ,,,,,,,Self,,Not used,,,Family,Combined,Continuous,Hyperactivity & Callousness-unemotionality,Hyperactivity & CD,ADHD Traits & Antisocial Traits,0.36,0.14,,,0.04,0.02,BEST
"Silberg, J., Rutter, M., Meyer, J., Maes, H., Hewitt, J., Simonoff, E., . . . Eaves, L. (1996). Genetic and environmental influences on the covariation between hyperactivity and conduct disturbance in juvenile twins. Journal of child Psychology and Psychiatry, 37(7), 803-816. ",Silberg et al. (1996),No data,VTSABD,,VTSABD,Twin study,Classical,2394,,,8-11y,Middle childhood & Adolescence,USA,Virginia,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,CAPA,Rutter A,,,,,,,Parent,,Not used,,,Family,Males,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.99,0.002,,,0.001,0.002,BEST
"Silberg, J., Rutter, M., Meyer, J., Maes, H., Hewitt, J., Simonoff, E., . . . Eaves, L. (1996). Genetic and environmental influences on the covariation between hyperactivity and conduct disturbance in juvenile twins. Journal of child Psychology and Psychiatry, 37(7), 803-816. ",Silberg et al. (1996),No data,VTSABD,,VTSABD,Twin study,Classical,2394,,,12-16y,Adolescence,USA,Virginia,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,CAPA,Rutter A,,,,,,,Parent,,Not used,,,Family,Males,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.58,0.04,,,0.23,0.06,BEST
"Silberg, J., Rutter, M., Meyer, J., Maes, H., Hewitt, J., Simonoff, E., . . . Eaves, L. (1996). Genetic and environmental influences on the covariation between hyperactivity and conduct disturbance in juvenile twins. Journal of child Psychology and Psychiatry, 37(7), 803-816. ",Silberg et al. (1996),No data,VTSABD,,VTSABD,Twin study,Classical,2394,,,8-11y,Middle childhood & Adolescence,USA,Virginia,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,CAPA,Rutter A,,,,,,,Parent,,Not used,,,Family,Females,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.99,0.001,,,0.07,0.06,BEST
"Silberg, J., Rutter, M., Meyer, J., Maes, H., Hewitt, J., Simonoff, E., . . . Eaves, L. (1996). Genetic and environmental influences on the covariation between hyperactivity and conduct disturbance in juvenile twins. Journal of child Psychology and Psychiatry, 37(7), 803-816. ",Silberg et al. (1996),No data,VTSABD,,VTSABD,Twin study,Classical,2394,,,12-16y,Adolescence,USA,Virginia,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,CAPA,Rutter A,,,,,,,Parent,,Not used,,,Family,Females,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.56,0.04,,,0.001,0.06,BEST
"Solberg, B. S., Zayats, T., Posserud, M.-B., Halmøy, A., Engeland, A., Haavik, J., & Klungsøyr, K. (2019). Patterns of psychiatric comorbidity and genetic correlations provide new insights into differences between attention-deficit/hyperactivity disorder and autism spectrum disorder. Biological psychiatry, 86(8), 587-598. ",Solberg et al. (2019),100,PGC,,PGC,LDSC study,LDSC,101724,,,>75% children,Childhood & Adolescence,European ancestry,,ADHD & ASD,ADHD & ASD,NDD,Binary,Categorical,ICD-10,,,,,,,,,,NA,,,SNP,Combined,Categorical,ADHD & ASD,ADHD & ASD,ADHD & ASD,0.36,0.05,,,,,
"Stergiakouli, E., Smith, G. D., Martin, J., Skuse, D. H., Viechtbauer, W., Ring, S. M., . . . Thapar, A. (2017). Shared genetic influences between dimensional ASD and ADHD symptoms during child and adolescent development. Molecular Autism, 8(1), 1-13. ",Stergiakouli et al. (2017),100,ALSPAC,,ALSPAC,GCTA study,REML,16161,,,7-8y,Childhood & Middle Childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SDQ,SCDC,,,,,,,Parent,,Age,Sex,PCs,SNP,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.8,0.25,,,,,
"Stergiakouli, E., Smith, G. D., Martin, J., Skuse, D. H., Viechtbauer, W., Ring, S. M., . . . Thapar, A. (2017). Shared genetic influences between dimensional ASD and ADHD symptoms during child and adolescent development. Molecular Autism, 8(1), 1-13. ",Stergiakouli et al. (2017),100,ALSPAC,,ALSPAC,GCTA study,REML,16161,,,10-11y,Middle childhood & Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SDQ,SCDC,,,,,,,Parent,,Age,Sex,PCs,SNP,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.74,0.23,,,,,
"Stergiakouli, E., Smith, G. D., Martin, J., Skuse, D. H., Viechtbauer, W., Ring, S. M., . . . Thapar, A. (2017). Shared genetic influences between dimensional ASD and ADHD symptoms during child and adolescent development. Molecular Autism, 8(1), 1-13. ",Stergiakouli et al. (2017),100,ALSPAC,,ALSPAC,GCTA study,REML,16161,,,11-12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SDQ,SCDC,,,,,,,Parent,,Age,Sex,PCs,SNP,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.44,0.21,,,,,
"Stergiakouli, E., Smith, G. D., Martin, J., Skuse, D. H., Viechtbauer, W., Ring, S. M., . . . Thapar, A. (2017). Shared genetic influences between dimensional ASD and ADHD symptoms during child and adolescent development. Molecular Autism, 8(1), 1-13. ",Stergiakouli et al. (2017),100,ALSPAC,,ALSPAC,GCTA study,REML,16161,,,13-14y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SDQ,SCDC,,,,,,,Parent,,Age,Sex,PCs,SNP,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.8,0.34,,,,,
"Stergiakouli, E., Smith, G. D., Martin, J., Skuse, D. H., Viechtbauer, W., Ring, S. M., . . . Thapar, A. (2017). Shared genetic influences between dimensional ASD and ADHD symptoms during child and adolescent development. Molecular Autism, 8(1), 1-13. ",Stergiakouli et al. (2017),100,ALSPAC,,ALSPAC,GCTA study,REML,16161,,,17y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SDQ,SCDC,,,,,,,Parent,,Age,Sex,PCs,SNP,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.8,0.26,,,,,
