Full Ref,Ref,%White,%Hispanic,%AfrAm,%Asian,%Chinese Han,Cohort,Cohort1,Cohort2,Cohort3,Design1,Design2,Individuals,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Broad Trait/Disorder,Trait/Disorder,Categorical/Continuous,Binary/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Covariate4,Design,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,Binary/Continuous,Group,Sex,h2,h2_SE,c2,c2_SE,e2,e2_SE,Model,,
"Molenaar, D., Middeldorp, C., van Beijsterveldt, T., & Boomsma, D. I. (2015). Analysis of behavioral and emotional problems in children highlights the role of genotype× environment interaction. Child development, 86(6), 1999-2016. ","Molenaar, Midderldorp, van Beijsterveldt & Boomsma (2015)",100,,,,,NTR,NTR,,,Twin study,Classical,29510,,5y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,DCB,,,,,,,,Parent,,Age,Sex,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.68,0.004,,,,,Aonly,,
"Molenaar, D., Middeldorp, C., van Beijsterveldt, T., & Boomsma, D. I. (2015). Analysis of behavioral and emotional problems in children highlights the role of genotype× environment interaction. Child development, 86(6), 1999-2016. ","Molenaar, Midderldorp, van Beijsterveldt & Boomsma (2015)",100,,,,,NTR,NTR,,,Twin study,Classical,29510,,5y,Childhood,Netherlands,,Motor Disorder,Motor Disorder,Continuous,Continuous,DCB,,,,,,,,Parent,,Age,Sex,,,Family,Coordination,Coordination,Motor Disorder,Continuous,,Combined,0.8,0.003,,,,,Aonly,,
"Moruzzi, S., Rijsdijk, F., & Battaglia, M. (2014). A twin study of the relationships among inattention, hyperactivity/impulsivity and sluggish cognitive tempo problems. Journal of abnormal child psychology, 42(1), 63-75. ","Moruzzi, Rijsdijk & Battaglia (2014)",No data,,,,,Twin study in Italy,Twin study in Italy,,,Twin study,Classical,796,13.06,8-17y,Middle Childhood & Adolescence,Italy,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Age,Sex,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.67,0.06,,,0.33,0.06,BEST,,
"Moruzzi, S., Rijsdijk, F., & Battaglia, M. (2014). A twin study of the relationships among inattention, hyperactivity/impulsivity and sluggish cognitive tempo problems. Journal of abnormal child psychology, 42(1), 63-75. ","Moruzzi, Rijsdijk & Battaglia (2014)",No data,,,,,Twin study in Italy,Twin study in Italy,,,Twin study,Classical,796,13.06,8-17y,Middle Childhood & Adolescence,Italy,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.45,0.06,,,0.55,0.06,BEST,,
"Newsome, J., Boisvert, D., & Wright, J. P. (2014). Genetic and environmental influences on the co-occurrence of early academic achievement and externalizing behavior. Journal of Criminal Justice, 42(1), 45-53. ","Newsome, Boisvert & Wright (2014)",62,,17,,,ECLS-K,ECLS-K,,,Twin study,Classical,360,,5-6y,Childhood,USA,,SLD,Dyslexia,Continuous,Continuous,ECLS-K-specific test,,,,,,,,,,Not used,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.28,0.13,0.52,0.1,0.2,0.05,FULL,,
"Newsome, J., Boisvert, D., & Wright, J. P. (2014). Genetic and environmental influences on the co-occurrence of early academic achievement and externalizing behavior. Journal of Criminal Justice, 42(1), 45-53. ","Newsome, Boisvert & Wright (2014)",62,,17,,,ECLS-K,ECLS-K,,,Twin study,Classical,360,,5-6y,Childhood,USA,,SLD,Dyscalculia,Continuous,Continuous,ECLS-K-specific test,,,,,,,,,,Not used,,,,Family,Maths,Maths Ability,Maths Ability,Continuous,,Combined,0.48,0.1,0.42,0.1,0.1,0.02,FULL,,
"Nikolas, M. A., Klump, K. L., & Burt, S. A. (2015). Parental involvement moderates etiological influences on attention deficit hyperactivity Disorder behaviors in child twins. Child development, 86(1), 224-240. ","Nikolas, Klump & Burt (2015)",86,,6,,,MSUTR,MSUTR,,,Twin study,Classical,1000,8.3,6-11y,Childhood & Adolescence,USA,Minessota,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.7,0.02,,,0.3,0.04,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,11.89,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.56,0.04,,,0.44,0.04,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,11.89,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Motor symptoms,Motor symptoms,ADHD Traits,Continuous,,Combined,0.37,0.05,,,0.63,0.03,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,11.89,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Not planning for the future,Not planning for the future,ADHD Traits,Continuous,,Combined,0.33,0.05,,,0.67,0.03,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,14.69,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.44,0.03,,,0.56,0.02,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,14.69,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Motor symptoms,Motor symptoms,ADHD Traits,Continuous,,Combined,0.63,0.02,,,0.37,0.03,BEST,,
"Niv, S., Tuvblad, C., Raine, A., Wang, P., & Baker, L. A. (2012). Heritability and longitudinal stability of impulsivity in adolescence. Behavior Genetics, 42(3), 378-392. ","Niv, Tuvblad, Raine, Wang & Baker (2012)",27,37,14,4,,Southern California Twin Project,Southern California Twin Project,,,Twin study,Classical,350,14.69,,Adolescence,USA,California,ADHD,ADHD,Continuous,Continuous,BIS,,,,,,,,Self,,Not used,,,,Family,Not planning for the future,Not planning for the future,ADHD Traits,Continuous,,Combined,0.67,0.02,,,0.33,0.03,BEST,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Word recognition,Word Reading,Reading Ability,Continuous,Probands,Combined,0.59,0.05,,,0.41,0.07,DFBEST,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Phonological coding,Phonological Skills,Reading Ability,Continuous,Probands,Combined,0.49,0.06,0.07,0.08,0.52,0.06,DFBEST,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Orthographic coding,Orthographic Skills,Reading Ability,Continuous,Probands,Combined,0.52,0.06,0.47,0.06,0.48,0.06,DFFULL,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Word recognition,Word Reading,Reading Ability,Continuous,Controls,Combined,0.35,0.07,0.24,0.07,0.41,0.07,DFFULL,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Phonological coding,Phonological Skills,Reading Ability,Continuous,Controls,Combined,0.52,0.06,0.01,0.08,0.47,0.06,DFFULL,,
"Olson, R. K., Gillis, J. J., Rack, J. P., DeFries, J., & Fulker, D. (1991). Confirmatory factor analysis of word recognition and process measures in the Colorado Reading Project. Reading and Writing, 3(3), 235-248. ","Olson, Gillis, Rack, DeFries & Fulker (1991)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,620,,7-20y,Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,,Family,Orthographic coding,Orthographic Skills,Reading Ability,Continuous,Controls,Combined,0.2,0.08,0.2,0.08,0.6,0.08,DFFULL,,
"Paloyelis, Y., Rijsdijk, F., Wood, A. C., Asherson, P., & Kuntsi, J. (2010). The genetic association between ADHD symptoms and reading difficulties: the role of inattentiveness and IQ. Journal of abnormal child psychology, 38(8), 1083-1095. ","Paloyelis, Rijsdijk, Wood, Asherson & Kuntsi (2010)",100,,,,,TEDS,TEDS,,,Twin study,Classical,1312,8.83,,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.72,0.03,,,0.28,0.03,BEST,,
"Paloyelis, Y., Rijsdijk, F., Wood, A. C., Asherson, P., & Kuntsi, J. (2010). The genetic association between ADHD symptoms and reading difficulties: the role of inattentiveness and IQ. Journal of abnormal child psychology, 38(8), 1083-1095. ","Paloyelis, Rijsdijk, Wood, Asherson & Kuntsi (2010)",100,,,,,TEDS,TEDS,,,Twin study,Classical,1312,8.83,,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Age,Sex,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.55,0.05,,,0.45,0.05,BEST,,
"Paloyelis, Y., Rijsdijk, F., Wood, A. C., Asherson, P., & Kuntsi, J. (2010). The genetic association between ADHD symptoms and reading difficulties: the role of inattentiveness and IQ. Journal of abnormal child psychology, 38(8), 1083-1095. ","Paloyelis, Rijsdijk, Wood, Asherson & Kuntsi (2010)",100,,,,,TEDS,TEDS,,,Twin study,Classical,1312,8.83,,Middle Childhood,UK,England and Wales,SLD,Dyslexia,Continuous,Continuous,RDQ,,,,,,,,,,Age,Sex,,,Family,Reading difficulties,Reading Ability,Reading Ability,Continuous,,Combined,0.74,0.03,,,0.26,0.03,BEST,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.4,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.37,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.45,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,TRF,,,,,,,,Teacher,,Age,Sex,Sample,,SNP,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.71,0.22,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.3,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.3,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,Sample,,SNP,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.37,0.14,,,,,SNP,,
"Pappa, I., Fedko, I. O., Mileva-Seitz, V. R., Hottenga, J.-J., Bakermans-Kranenburg, M. J., Bartels, M., . . . Rippe, R. C. (2015). Single nucleotide polymorphism heritability of behavior problems in childhood: genome-wide complex trait analysis. Journal of the American Academy of Child & Adolescent Psychiatry, 54(9), 737-744. ",Pappa et al. (2015),100,,,,,"Generation R, NTR",Generation R,NTR,,GCTA study,REML,3175,,7-9y,Childhood & Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,TRF,,,,,,,,Teacher,,Age,Sex,Sample,,SNP,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.64,0.22,,,,,SNP,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,12y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.73,0.07,0.13,0.07,0.15,0.02,FULL,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,12y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.73,0.04,,,0.27,0.04,BEST,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,14y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.31,0.07,0.57,0.07,0.13,0.02,FULL,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,14y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.54,0.05,0.22,0.04,0.24,0.03,FULL,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,16y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.42,0.08,0.51,0.08,0.07,0.01,FULL,,
"Peng, C.-Z., D GRANT, J., Heath, A. C., Reiersen, A. M., Mulligan, R. C., & Anokhin, A. P. (2016). Familial influences on the full range of variability in attention and activity levels during adolescence: A longitudinal twin study. Development and psychopathology, 28(2), 517. ",Peng et al. (2016),No data,,,,,Missouri Twin Study,Missouri Twin Study,,,Twin study,Classical,678,,16y,Adolescence,USA,Missouri,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.69,0.07,0.13,0.06,0.18,0.03,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,6.1,5-8y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Phonological awareness,Phonological Skills,Reading Ability,Continuous,,Combined,0.59,0.11,0.16,0.1,0.25,0.04,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,7.2,6-9y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Phonological awareness,Phonological Skills,Reading Ability,Continuous,,Combined,0.14,0.09,0.47,0.11,0.39,0.04,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,6.1,5-8y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Rapid automated naming,Rapid Naming,Reading Ability,Continuous,,Combined,0.42,0.18,0.15,0.12,0.44,0.07,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,7.2,6-9y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Rapid automated naming,Rapid Naming,Reading Ability,Continuous,,Combined,0.43,0.18,0.2,0.13,0.37,0.06,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,6.1,5-8y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Expressive vocabulary,Vocabulary,Reading Ability,Continuous,,Combined,0.38,0.1,0.4,0.11,0.22,0.03,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,7.2,6-9y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Expressive vocabulary,Vocabulary,Reading Ability,Continuous,,Combined,0.47,0.1,0.4,0.12,0.13,0.02,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,6.1,5-8y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Letter knowledge,,Reading Ability,Continuous,,Combined,0.35,0.12,0.38,0.12,0.27,0.04,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,7.2,6-9y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Letter knowledge,,Reading Ability,Continuous,,Combined,0.27,0.11,0.52,0.13,0.21,0.03,FULL,,
"Petrill, S. A., Deater-Deckard, K., Thompson, L. A., Schatschneider, C., DeThorne, L. S., & Vandenbergh, D. J. (2007). Longitudinal genetic analysis of early reading: the Western Reserve reading project. Reading and Writing, 20(1), 127-146. ",Petrill et al. (2007),92,,,,,WRTP,Western Reserve Twin Project,,,Twin study,Classical,566,6.1,5-8y,Childhood & Middle Childhood,USA,Ohio,SLD,Dyslexia,Continuous,Continuous,Comprehensive Test of Phonological Processing,,,,,,,,,,Age,Sex,,,Family,Word knowledge,,Reading Ability,Continuous,,Combined,0.55,0.1,0.34,0.12,0.11,0.18,FULL,,
